date,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; mutual fund shares; asset,State and local government employee defined benefit retirement funds; miscellaneous assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,742
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,878,8,0,0,0,258,0,152,0,86,20,3,1,0,608,608,0,878
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1094,8,0,0,0,321,0,189,0,102,30,4,2,0,759,759,0,1094
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1332,6,0,0,0,419,0,213,0,129,77,10,3,0,894,894,0,1332
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1539,10,0,0,0,502,0,184,0,183,135,17,7,0,1003,1003,0,1539
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1685,18,0,0,0,624,0,241,0,200,183,23,9,0,1011,1011,0,1686
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1854,19,0,0,0,699,0,420,0,163,116,30,12,0,1094,1094,0,1855
1952:Q1,498,5,0,0,0,241,0,152,5,39,45,8,3,0,241,241,0,498
1952:Q2,507,5,0,0,0,177,0,78,5,43,51,9,4,0,312,312,0,507
1952:Q3,524,5,0,0,0,340,0,165,5,44,126,9,4,0,166,166,0,524
1952:Q4,536,5,0,0,0,198,0,61,5,45,87,10,4,0,319,319,0,536
1953:Q1,536,6,0,0,0,274,0,91,2,50,131,11,4,0,241,241,0,536
1953:Q2,556,9,0,0,0,371,0,190,1,53,127,11,5,0,160,160,0,556
1953:Q3,575,9,0,0,0,359,0,175,1,56,127,12,5,0,190,190,0,575
1953:Q4,588,7,0,0,0,223,0,30,1,61,131,13,5,0,340,340,0,588
1954:Q1,589,4,0,0,0,384,0,183,3,63,135,14,6,0,181,181,0,589
1954:Q2,609,2,0,0,0,407,0,191,3,66,147,15,6,0,179,179,0,609
1954:Q3,630,0,0,0,0,301,0,76,3,70,152,16,6,0,307,307,0,630
1954:Q4,642,-1,0,0,0,306,0,73,4,74,155,16,6,0,315,315,0,642
1955:Q1,642,-3,0,0,0,276,0,55,5,80,136,17,7,0,345,345,0,642
1955:Q2,663,-6,0,0,0,271,0,40,5,86,140,17,7,0,374,374,0,663
1955:Q3,685,-6,0,0,0,329,0,88,5,90,146,18,7,0,337,337,0,685
1955:Q4,700,-5,0,0,0,351,0,100,5,91,155,17,7,0,330,330,0,700
1956:Q1,708,1,0,0,0,455,0,213,2,93,147,18,8,0,226,226,0,708
1956:Q2,726,3,0,0,0,246,0,24,2,95,125,16,8,0,453,453,0,726
1956:Q3,750,5,0,0,0,233,0,26,2,98,107,19,9,0,484,484,0,750
1956:Q4,768,7,0,0,0,213,0,15,3,101,94,24,9,0,515,515,0,768
1957:Q1,770,10,0,0,0,345,0,117,7,104,117,30,11,0,374,374,0,770
1957:Q2,797,14,0,0,0,343,0,53,8,108,174,35,13,0,392,392,0,797
1957:Q3,829,14,0,0,0,406,0,33,7,109,257,39,13,0,357,357,0,829
1957:Q4,851,9,0,0,0,338,0,-89,8,108,311,41,14,0,449,449,0,851
1958:Q1,856,5,0,0,0,479,0,46,5,109,319,44,14,0,314,314,0,856
1958:Q2,888,3,0,0,0,242,0,-154,5,112,279,47,14,0,582,582,0,888
1958:Q3,918,0,0,0,0,379,0,10,5,108,256,50,15,0,474,474,0,918
1958:Q4,937,-1,0,0,0,409,0,61,5,95,248,55,15,0,459,459,0,937
1959:Q1,933,-3,0,0,0,407,0,81,7,85,234,56,17,0,456,456,0,933
1959:Q2,960,-7,0,0,0,319,0,24,8,76,211,55,19,0,574,574,0,960
1959:Q3,988,-7,0,0,0,506,0,224,7,68,207,64,19,0,406,406,0,988
1959:Q4,1005,-6,0,0,0,386,0,112,7,59,208,81,20,0,524,524,0,1005
1960:Q1,1014,2,0,0,0,493,0,201,13,54,225,99,20,0,400,400,0,1014
1960:Q2,1036,6,0,0,0,379,0,61,12,51,255,118,19,0,514,514,0,1036
1960:Q3,1075,7,0,0,0,281,0,-71,13,37,302,124,21,0,642,642,0,1075
1960:Q4,1105,7,0,0,0,439,0,58,12,13,356,117,26,0,516,516,0,1105
1961:Q1,1113,8,0,0,0,555,0,144,18,-7,400,114,32,0,404,404,0,1113
1961:Q2,1158,9,0,0,0,443,0,17,19,-25,432,116,37,0,553,553,0,1158
1961:Q3,1201,9,0,0,0,418,0,-7,19,-44,450,113,40,0,621,621,0,1201
1961:Q4,1232,8,0,0,0,333,0,-65,19,-67,446,103,43,0,745,745,0,1232
1962:Q1,1234,8,0,0,0,644,0,225,54,-88,453,94,46,0,442,442,0,1234
1962:Q2,1276,9,0,0,0,418,0,50,18,-117,467,84,49,0,716,716,0,1276
1962:Q3,1321,8,0,0,0,423,0,50,37,-128,464,81,51,0,758,758,0,1321
1962:Q4,1354,5,0,0,0,298,0,-25,15,-126,434,87,51,0,913,913,0,1354
1963:Q1,1355,4,0,0,0,417,0,100,-8,-122,447,89,50,0,795,795,0,1355
1963:Q2,1400,2,0,0,0,631,0,275,-6,-129,491,89,49,0,629,629,0,1400
1963:Q3,1442,1,0,0,0,475,0,75,-30,-127,557,92,52,0,822,822,0,1442
1963:Q4,1467,-1,0,0,0,452,0,-40,-4,-122,618,100,58,0,858,858,0,1467
1964:Q1,1475,0,0,0,0,716,0,215,-6,-110,617,104,62,0,593,593,0,1475
1964:Q2,1504,0,0,0,0,727,0,250,34,-105,548,106,66,0,605,605,0,1504
1964:Q3,1558,0,0,0,0,494,0,91,-6,-98,507,115,70,0,879,879,0,1558
1964:Q4,1602,-2,0,0,0,374,0,-36,12,-91,489,133,75,0,1022,1022,0,1602
1965:Q1,1614,0,0,0,0,799,0,387,-5,-80,497,151,80,0,584,584,0,1614
1965:Q2,1679,0,0,0,0,635,0,173,5,-72,529,168,83,0,793,793,0,1679
1965:Q3,1743,1,0,0,0,407,0,-239,104,-64,606,178,90,0,1067,1067,0,1743
1965:Q4,1782,5,0,0,0,419,0,-198,7,-59,669,179,99,0,1080,1080,0,1782
1966:Q1,1780,8,0,0,0,842,0,159,10,-46,719,190,110,0,630,630,0,1780
1966:Q2,1834,10,0,0,0,584,0,-266,120,-36,766,207,119,0,914,914,0,1834
1966:Q3,1890,14,0,0,0,896,0,120,49,-30,757,201,127,0,652,652,0,1890
1966:Q4,1930,19,0,0,0,595,0,-51,-19,-32,697,172,132,0,1012,1012,0,1930
1967:Q1,1937,39,0,0,0,488,0,-315,17,-20,806,165,145,0,1100,1100,0,1937
1967:Q2,2023,8,17,0,0,675,0,-154,75,-19,773,166,144,0,1013,1013,0,2023
1967:Q3,2128,-34,52,0,0,733,0,-338,15,-18,1074,78,190,0,1109,1109,0,2128
1967:Q4,2233,-78,92,0,0,949,0,-143,26,-18,1084,78,191,0,1001,1001,0,2233
1968:Q1,2320,62,-53,0,0,541,0,54,-27,31,483,145,270,0,1355,1355,0,2321
1968:Q2,2434,38,-33,0,0,781,0,-99,270,-65,675,121,293,0,1234,1234,0,2435
1968:Q3,2572,26,71,0,0,759,0,-97,110,12,734,6,321,0,1389,1389,0,2572
1968:Q4,2675,-52,84,0,0,920,0,-102,272,-2,752,87,433,0,1203,1203,0,2675
1969:Q1,2709,120,-178,0,0,796,0,-71,27,4,836,64,302,0,1605,1605,0,2710
1969:Q2,2831,-182,91,0,0,948,0,-35,28,-18,973,49,530,0,1395,1395,0,2832
1969:Q3,2957,14,68,0,0,1100,0,-119,87,-20,1152,75,430,0,1270,1270,0,2957
1969:Q4,3056,-20,-41,0,0,771,0,-259,14,-17,1033,25,526,0,1795,1795,0,3056
1970:Q1,3093,-73,-32,0,0,960,0,-102,26,-23,1059,75,474,0,1689,1689,0,3093
1970:Q2,3244,70,71,0,0,830,0,-156,17,-149,1118,158,561,0,1554,1554,0,3245
1970:Q3,3415,-32,-42,0,0,1333,0,95,-33,-26,1297,-19,380,0,1795,1795,0,3415
1970:Q4,3570,114,46,0,0,666,0,-170,-85,-101,1022,131,722,0,1891,1891,0,3570
1971:Q1,3655,-36,20,0,0,926,0,-224,-77,8,1219,99,692,0,1954,1954,0,3655
1971:Q2,3868,68,-53,0,0,758,0,-454,-14,2,1224,151,763,0,2181,2181,0,3868
1971:Q3,4093,30,-6,0,0,639,0,-55,48,8,638,8,961,0,2461,2461,0,4094
1971:Q4,4281,98,-26,0,0,583,0,-475,96,102,860,110,769,0,2747,2747,0,4282
1972:Q1,4419,155,-109,0,0,1060,0,-263,124,77,1122,21,513,0,2779,2779,0,4419
1972:Q2,4599,44,-6,0,0,1060,0,90,132,237,601,-52,904,0,2649,2649,0,4599
1972:Q3,4825,-24,32,0,0,1077,0,-80,144,-343,1356,83,1110,0,2547,2547,0,4825
1972:Q4,4992,44,126,0,0,1173,0,-46,161,-94,1152,130,1150,0,2369,2369,0,4992
1973:Q1,5038,-155,113,0,0,1227,0,90,179,-407,1365,162,1347,0,2344,2344,0,5038
1973:Q2,5239,52,125,0,0,1286,0,-227,196,-86,1403,189,840,0,2747,2747,0,5239
1973:Q3,5437,-64,231,0,0,1474,0,-432,360,114,1432,67,561,0,3168,3168,0,5437
1973:Q4,5574,-56,140,0,0,1025,0,-520,494,41,1010,253,663,0,3549,3549,0,5574
1974:Q1,5592,-185,87,0,0,1265,0,-668,483,154,1296,136,735,0,3554,3554,0,5592
1974:Q2,5812,-54,296,0,0,1673,0,46,328,-401,1700,53,538,0,3306,3306,0,5812
1974:Q3,6062,-35,190,0,0,1850,0,-371,256,-196,2161,93,264,0,3700,3700,0,6062
1974:Q4,6272,-16,170,0,0,926,0,70,182,-265,939,279,1032,0,3881,3881,0,6272
1975:Q1,6334,63,268,0,0,1808,0,-26,136,-194,1892,3,407,0,3785,3785,0,6334
1975:Q2,6577,15,-123,0,0,2380,0,656,117,-61,1668,105,499,0,3701,3701,0,6577
1975:Q3,6774,-36,-346,0,0,1876,0,333,209,178,1156,65,727,0,4488,4488,0,6774
1975:Q4,6855,-21,-171,0,0,2966,0,-8,209,1034,1731,-333,755,0,3659,3659,0,6855
1976:Q1,6847,-10,-106,0,0,2342,0,518,282,253,1289,1,532,0,4088,4088,0,6847
1976:Q2,6937,20,68,0,0,3631,0,574,319,957,1781,80,829,0,2309,2309,0,6937
1976:Q3,7159,-31,-78,0,0,2281,0,268,420,233,1360,2,824,0,4161,4161,0,7159
1976:Q4,7366,12,93,0,0,991,0,157,561,-23,296,107,931,0,5232,5232,0,7366
1977:Q1,7433,-30,-50,0,0,1500,0,655,1576,-488,-243,-48,808,0,5253,5253,0,7433
1977:Q2,7742,64,303,0,0,3081,0,1856,207,756,262,180,808,0,3306,3306,0,7742
1977:Q3,8026,20,82,0,0,3255,0,189,220,-72,2918,-242,1022,0,3889,3889,0,8025
1977:Q4,8187,-40,-67,0,0,3380,0,3,746,-12,2643,419,1040,0,3455,3455,0,8186
1978:Q1,8150,52,342,0,0,3289,0,864,1383,-158,1200,41,641,0,3785,3785,0,8150
1978:Q2,8393,55,285,0,0,4486,0,1471,383,346,2286,164,632,0,2771,2771,0,8393
1978:Q3,8675,32,393,0,0,3455,0,448,570,-64,2501,161,716,0,3918,3918,0,8675
1978:Q4,8899,-34,-82,0,0,5004,0,-89,2044,283,2766,179,640,0,3192,3192,0,8899
1979:Q1,8936,74,393,0,0,1962,0,1223,467,122,150,211,268,0,6028,6028,0,8937
1979:Q2,9258,20,97,0,0,4382,0,2650,64,-206,1874,220,747,0,3792,3792,0,9259
1979:Q3,9557,5,211,0,0,972,0,-40,-431,13,1430,305,2015,0,6049,6049,0,9557
1979:Q4,9730,82,403,0,0,2230,0,1419,1295,30,-514,282,1118,0,5615,5615,0,9730
1980:Q1,9796,50,111,0,0,5442,0,1453,621,191,3177,450,896,0,2847,2829,18,9797
1980:Q2,10004,48,-13,0,0,7475,0,1423,1802,-76,4326,241,879,0,1374,1357,17,10005
1980:Q3,10393,-75,3,0,0,3769,0,2417,269,-104,1187,302,1303,0,5091,5073,18,10394
1980:Q4,10741,14,125,0,0,2643,0,928,1031,138,546,293,2254,0,5412,5395,17,10742
1981:Q1,10881,181,423,0,0,3193,0,1505,1118,-139,709,276,1108,0,5700,5682,18,10882
1981:Q2,11385,-68,-346,0,0,6782,0,2099,747,75,3861,436,2132,0,2449,2432,17,11386
1981:Q3,11877,27,535,0,0,3687,0,684,1173,-136,1966,598,2675,0,4355,4337,18,11878
1981:Q4,12222,-119,-483,0,0,6503,0,2349,2129,-3,2028,319,1155,0,4847,4829,18,12223
1982:Q1,12294,28,159,0,0,5986,0,1981,2987,-205,1223,471,1488,0,4162,4132,30,12295
1982:Q2,12800,108,638,0,0,6139,0,2872,656,197,2414,236,553,0,5126,5095,31,12801
1982:Q3,13380,76,473,0,0,5709,0,3432,3446,-298,-871,441,-761,0,7442,7411,31,13381
1982:Q4,13865,145,909,0,0,2636,0,1049,2971,-419,-965,106,4746,0,5323,5292,31,13866
1983:Q1,14022,221,1358,0,164,3147,164,2914,1029,-768,-192,210,4911,0,4011,3976,35,14023
1983:Q2,14569,24,407,0,242,4464,242,3860,817,120,-575,116,3315,0,6001,5949,52,14570
1983:Q3,15000,-65,-452,0,289,-1713,289,2606,250,-60,-4798,50,6421,0,10470,10399,71,15001
1983:Q4,15151,239,1480,0,305,1353,305,2632,2846,-423,-4007,502,5341,0,5931,5844,87,15152
1984:Q1,15082,223,1319,0,321,6559,321,5651,940,151,-504,75,1780,0,4805,4840,-35,15084
1984:Q2,15201,167,989,0,336,10623,336,4616,-1391,113,6949,209,458,0,2419,2454,-35,15204
1984:Q3,15583,213,1634,0,383,7817,383,5154,691,-196,1785,26,2769,0,2741,2758,-17,15586
1984:Q4,15907,-4,-767,0,460,8743,460,3583,3816,-534,1418,294,2266,0,4915,4968,-53,15910
1985:Q1,15931,340,2125,0,539,-678,539,5908,187,16,-7328,64,5267,0,8274,8257,17,15934
1985:Q2,16487,547,529,0,617,5560,617,3368,-2654,-272,4501,26,9868,0,-660,-678,18,16490
1985:Q3,17012,-390,-465,0,664,8518,664,2720,715,-53,4472,-24,4096,0,4613,4577,36,17015
1985:Q4,17309,-145,-822,1427,680,5742,680,5473,-3432,-97,3118,-12,9339,0,1100,1050,50,17312
1986:Q1,17199,-51,745,67,714,6042,714,9645,-3223,-190,-904,91,6310,2,3279,3180,99,17203
1986:Q2,17679,-100,111,-14,766,7434,766,3479,1123,258,1808,-203,4920,-663,5428,5337,91,17682
1986:Q3,18219,299,-2588,107,875,12788,875,6097,1881,-161,4096,167,6459,-852,964,973,-9,18222
1986:Q4,18615,583,-1704,138,915,18217,915,10725,242,-326,6661,186,6350,-397,-5674,-5705,31,18618
1987:Q1,18608,627,-2488,32,941,11563,941,7486,1770,-156,1522,-217,8554,1675,-2080,-2148,68,18612
