date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,7,0,0,0,7,7
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,32,0,0,0,32,32
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,43,0,0,0,43,43
1952:Q1,45,0,0,0,45,45
1952:Q2,47,0,0,0,47,47
1952:Q3,50,0,0,0,50,50
1952:Q4,53,0,0,0,53,53
1953:Q1,55,0,0,0,55,55
1953:Q2,56,0,0,0,56,56
1953:Q3,58,0,0,0,58,58
1953:Q4,60,0,0,0,60,60
1954:Q1,61,0,0,0,61,61
1954:Q2,62,0,0,0,62,62
1954:Q3,70,0,0,0,70,70
1954:Q4,78,0,0,0,78,78
1955:Q1,86,0,0,0,86,86
1955:Q2,95,0,0,0,95,95
1955:Q3,105,0,0,0,105,105
1955:Q4,116,0,0,0,116,116
1956:Q1,127,0,0,0,127,127
1956:Q2,138,0,0,0,138,138
1956:Q3,143,0,0,0,143,143
1956:Q4,149,0,0,0,149,149
1957:Q1,157,0,0,0,157,157
1957:Q2,166,0,0,0,166,166
1957:Q3,170,0,0,0,170,170
1957:Q4,173,0,0,0,173,173
1958:Q1,175,0,0,0,175,175
1958:Q2,177,0,0,0,177,177
1958:Q3,183,0,0,0,183,183
1958:Q4,190,0,0,0,190,190
1959:Q1,195,0,0,0,195,195
1959:Q2,201,0,0,0,201,201
1959:Q3,202,0,0,0,202,202
1959:Q4,203,0,0,0,203,203
1960:Q1,204,0,0,0,204,204
1960:Q2,206,0,0,0,206,206
1960:Q3,204,0,0,0,204,204
1960:Q4,201,0,0,0,201,201
1961:Q1,201,0,0,1,200,201
1961:Q2,200,0,0,3,197,200
1961:Q3,244,0,0,4,240,244
1961:Q4,290,0,0,4,286,290
1962:Q1,312,0,0,5,307,312
1962:Q2,336,0,0,6,330,336
1962:Q3,373,0,0,7,366,373
1962:Q4,413,0,0,8,405,413
1963:Q1,453,0,0,9,444,453
1963:Q2,495,0,0,10,485,495
1963:Q3,509,0,1,13,495,509
1963:Q4,525,0,1,15,509,525
1964:Q1,551,0,1,18,532,551
1964:Q2,581,0,1,21,559,581
1964:Q3,602,0,2,30,570,602
1964:Q4,624,0,2,41,581,624
1965:Q1,676,0,2,54,620,676
1965:Q2,730,0,2,68,660,730
1965:Q3,797,23,3,86,685,797
1965:Q4,869,50,4,104,711,869
1966:Q1,949,84,4,125,736,949
1966:Q2,1033,122,3,147,761,1033
1966:Q3,1167,188,4,170,805,1167
1966:Q4,1314,266,4,194,850,1314
1967:Q1,1480,356,5,219,900,1480
1967:Q2,1660,458,5,245,952,1660
1967:Q3,1821,551,7,274,989,1821
1967:Q4,1988,652,9,301,1026,1988
1968:Q1,2169,761,10,327,1071,2169
1968:Q2,2359,878,12,352,1117,2359
1968:Q3,2444,936,15,368,1125,2444
1968:Q4,2526,994,18,383,1131,2526
1969:Q1,2616,1052,22,397,1145,2616
1969:Q2,2701,1108,26,411,1156,2701
1969:Q3,2949,1236,30,428,1255,2949
1969:Q4,3204,1369,35,444,1356,3204
1970:Q1,3499,1522,40,459,1478,3499
1970:Q2,3713,1686,45,474,1508,3713
1970:Q3,4132,2005,53,486,1588,4132
1970:Q4,4755,2532,60,496,1667,4755
1971:Q1,5957,3583,69,507,1798,5957
1971:Q2,7572,5041,79,518,1934,7572
1971:Q3,8369,5717,88,554,2010,8369
1971:Q4,9516,6717,114,589,2096,9516
1972:Q1,10542,7636,146,506,2254,10542
1972:Q2,11748,8681,212,542,2313,11748
1972:Q3,12815,9587,280,582,2366,12815
1972:Q4,14404,10701,392,867,2444,14404
1973:Q1,15160,11356,502,867,2435,15160
1973:Q2,16615,12500,546,970,2599,16615
1973:Q3,17057,12922,598,950,2587,17057
1973:Q4,18040,13636,616,1124,2664,18040
1974:Q1,19709,15269,632,1118,2690,19709
1974:Q2,20132,15799,648,1065,2620,20132
1974:Q3,20537,17152,737,0,2648,20537
1974:Q4,21458,18038,775,0,2645,21458
1975:Q1,24420,20820,895,0,2705,24420
1975:Q2,25603,22351,852,0,2400,25603
1975:Q3,26785,23486,1089,0,2210,26785
1975:Q4,28511,25339,1175,0,1997,28511
1976:Q1,31152,27700,1446,0,2006,31152
1976:Q2,34016,30627,1469,-10,1930,34016
1976:Q3,36984,33513,1558,0,1913,36984
1976:Q4,40693,37257,1659,0,1777,40693
1977:Q1,45418,41753,1924,0,1741,45418
1977:Q2,47980,44402,1987,0,1591,47980
1977:Q3,52412,48830,2212,0,1370,52412
1977:Q4,56803,52988,2584,0,1231,56803
1978:Q1,59512,55350,2885,0,1277,59512
1978:Q2,62611,57993,3469,0,1149,62611
1978:Q3,65755,61032,3736,0,987,65755
1978:Q4,70407,65354,4097,0,956,70407
1979:Q1,75627,70268,4353,0,1006,75627
1979:Q2,80506,74795,4686,0,1025,80506
1979:Q3,87309,81301,4974,0,1034,87309
1979:Q4,94778,88429,5318,0,1031,94778
1980:Q1,99954,93521,5397,0,1036,99954
1980:Q2,104016,97347,5618,0,1051,104016
1980:Q3,109691,102880,5832,0,979,109691
1980:Q4,113959,107126,5976,0,857,113959
1981:Q1,117260,110264,6111,0,885,117260
1981:Q2,120851,113866,6201,0,784,120851
1981:Q3,124370,117244,6374,0,752,124370
1981:Q4,128986,125010,3228,0,748,128986
1982:Q1,137628,133734,3267,0,627,137628
1982:Q2,146951,142967,3375,0,609,146951
1982:Q3,160231,156168,3480,0,583,160231
1982:Q4,178519,174349,3589,0,581,178519
1983:Q1,196517,191975,3882,0,660,196517
1983:Q2,213061,208340,4155,0,566,213061
1983:Q3,231538,226385,4606,0,547,231538
1983:Q4,244807,239439,4820,0,548,244807
1984:Q1,255930,250431,4953,0,546,255930
